# codeml m1 output parser
# PYTHON VERSION: 2.7.5
# Script call:    /home/gt156213e/bin/core/hyphy-interface/hyphy_to_csv.py -i phodopus-4spec-mg94/ -d ../data/psun-transcripts.tab -m mg94 -o phodopus-4spec-mg94.csv --overwrite
# Runtime:        10/20/2021 09:04:33
# ----------------
# IO OPTIONS
# Input directory:       phodopus-4spec-mg94/
# Hyphy model:           mg94
# Metadata file:         ../data/psun-transcripts.tab
# Output file:           phodopus-4spec-mg94.csv
# --overwrite set:       Overwriting previous output file.
# ----------------
# 10.20.2021 | 09:04:33 Reading metadata file: ../data/psun-transcripts.tab
# Features read:         27988
# ----------------
# 10.20.2021 | 09:04:33 Begin parsing Hyphy output...
file,id,chr,start,end,dn,ds,dn/ds,lrt,pval
Psun_T000019617.NT.trim.NT.macse.trim.filter.json,Psun_T000019617,ScmyWZ3_6009_HRSCAF_6127,99926241,99959259,0.0482840503658,0.211737073493,0.31118187044,86.5864180882,0
Psun_T000023994.NT.trim.NT.macse.trim.filter.json,Psun_T000023994,ScmyWZ3_2948_HRSCAF_3022,13732964,13782341,0.0140403604276,0.164521473644,0.106587122883,93.663118648,0
Psun_T000016732.NT.trim.NT.macse.trim.filter.json,Psun_T000016732,ScmyWZ3_1570_HRSCAF_1621,111765840,111786437,0.0185489017215,0.236572289466,0.104062061549,55.6881081556,8.49320613838e-14
Psun_T000003697.NT.trim.NT.macse.trim.filter.json,Psun_T000003697,ScmyWZ3_7291_HRSCAF_7434,287089478,287095907,0.0129097245867,0.277028202812,0.0674955725912,28.1872968207,1.10124970032e-07
Psun_T000018375.NT.trim.NT.macse.trim.filter.json,Psun_T000018375,ScmyWZ3_6009_HRSCAF_6127,14119245,14128691,0.0364147041716,0.153858019702,0.261236084942,12.6577954235,0.000374002965356
Psun_T000018631.NT.trim.NT.macse.trim.filter.json,Psun_T000018631,ScmyWZ3_6009_HRSCAF_6127,39580097,39582161,6.29410030681e-10,0.14063532141,0,16.5001732143,4.86456298917e-05
Psun_T000016982.NT.trim.NT.macse.trim.filter.json,Psun_T000016982,ScmyWZ3_1570_HRSCAF_1621,121224208,121231776,0.00881963381684,0.218777312036,0.0547171313548,87.9232246215,0
Psun_T000001918.NT.trim.NT.macse.trim.filter.json,Psun_T000001918,ScmyWZ3_7291_HRSCAF_7434,113183773,113192753,0.0546030595405,0.299884711026,0.218991661589,90.3477260281,0
Psun_T000020453.NT.trim.NT.macse.trim.filter.json,Psun_T000020453,ScmyWZ3_6520_HRSCAF_6643,4405633,4413732,0.0326959810989,0.363920950232,0.112673012255,88.1537648609,0
Psun_T000000990.NT.trim.NT.macse.trim.filter.json,Psun_T000000990,ScmyWZ3_7291_HRSCAF_7434,88851665,88876640,0.0147440642582,0.209996754449,0.0843248272178,105.159999105,0
Psun_T000009465.NT.trim.NT.macse.trim.filter.json,Psun_T000009465,ScmyWZ3_3985_HRSCAF_4074,153538137,153550573,6.46363696629e-10,0.0955412115911,0,20.263320431,6.74819779745e-06
Psun_T000014303.NT.trim.NT.macse.trim.filter.json,Psun_T000014303,ScmyWZ3_3390_HRSCAF_3471,97446656,97470166,0.0208885820664,0.20134414065,0.15335077115,61.8397885326,3.77475828373e-15
Psun_T000020087.NT.trim.NT.macse.trim.filter.json,Psun_T000020087,ScmyWZ3_6009_HRSCAF_6127,118986462,118995977,6.47169067978e-10,0.14434922857,0,27.5373826797,1.54087283488e-07
Psun_T000006153.NT.trim.NT.macse.trim.filter.json,Psun_T000006153,ScmyWZ3_6734_HRSCAF_6862,157607183,157623775,0.0209370742926,0.247418735865,0.110097054542,99.3476178981,0
